"LAKE_HISTORY_ID","LOCATION_PWL_ID","PWS.ID"
"1301SLE6666","1301-0059","NY1915264"
"1301STI0187A","1301-0166","NY3530232"
"1301STI0187A","1301-0166","NY3511338"
"1301SUM0193","1301-0165","NY3517676"
"1301TIO0152","1301-0129","NY3517682"
"1301UWB0215B",NA,"NY3903652"
"1301UWB0413",NA,"NY5503377"
"1301UWB0438P",NA,"NY5503368"
"1301UWB5426",NA,NA
"1301VLY0262A","1301-0234","NY0100191"
"1302AMA0050","1302-0044","NY5903489"
"1302GLE0074","1302-0025","NY3903641"
"1302IND0042B","1302-0067","NY5903451"
"1302MAH0053","1302-0007","NY3903644"
"1302MID0062","1302-0009","NY3905680"
"1303ALE0222D","1301-0181","NY3503526"
"1303BRO0226A","1303-0013","NY3503580"
"1303BRO0226A","1303-0013","NY3503549"
"1303WAL0257","1303-0004","NY3503524"
"1306GLE0668",NA,"NY3503527"
"1306HIG0492","1306-0060","NY3503534"
"1306UWB0683",NA,"NY3503561"
"1306UWB6000",NA,"NY5503383"
"1306UWB6070",NA,"NY5503379"
"1307ASH0848","1307-0004","NY5530001"
"1307COO0839","1307-0022","NY5503374"
"1307SAU0834",NA,"NY5503386"
"1308TAG0869","1308-0014","NY1011778"
"1309HOL0913","1309-0007","NY1900024"
"1309POT0925A","1309-0024","NY1900026"
"1309UWB6509",NA,"NY1904281"
"1311DEL0292","1311-0023","NY4600064"
"1311THO0274","1311-0007","NY0118342"
"1311WAT0270","1311-0001","NY0110127"
"1311WAT0270","1311-0001","NY0100205"
"1402EAS0055","1402-0060","NY5203348"
"1402KIA0044","1402-0003","NY5203344"
"1402KIA0044","1402-0003","NY5203337"
"1402LOU0040","1402-0049","NY5203346"
"1402RE10003","1402-0027","NY3503554"
"1403LIL0311","1403-0067","NY5203329"
"1404BLA0462A",NA,"NY1200272"
"1501MOM1010","1501-0002","NY3503535"
"1501STA1011","1501-0053","NY3517675"
"1501STE1021C","1501-0066","NY3512132"
"1501STE1025","1501-0068","NY3512133"
"1501TUX1007","1501-0050","NY3503557"
"1501UWB1007A",NA,"NY3503592"
"1601UWB1117A",NA,"NY1316987"
"1702BAR1108","1701-0285","NY5103294"
"1702BRY1106","1702-0134","NY5903437"
"1702KEN1063","1702-0059","NY5903488"
"1702KEN1063","1702-0059","NY5903435"
