OBJECTID,Water_System_Name,Water_SystemID,Facility_Type,Source_Name,Principle_County_Served,Facility_ID,Population_Served,Water_System_Type,FIN,WATER,LakeID
164,SODUS VILLAGE,NY5801241,IN,LAKE ONTARIO,WAYNE,2572010,1819,C,ONT,Lake Ontario,0300ONT0000
165,WOLCOTT VILLAGE,NY5801245,IN,LAKE ONTARIO,WAYNE,2572011,2200,C,ONT,Lake Ontario,0300ONT0000
166,WILLIAMSON TOWN WD,NY5801258,IN,LAKE ONTARIO INTAKE,WAYNE,2572012,6600,C,ONT,Lake Ontario,0300ONT0000
167,OCWA,NY3304336,IN,LAKE ONTARIO INTAKE,ONONDAGA,2632883,300000,C,ONT,Lake Ontario,0300ONT0000
168,ALEXANDRIA BAY VILLAGE,NY2202329,IN,ST LAWRENCE RIVER,JEFFERSON,2571132,1900,C,ONT,Lake Ontario,0300ONT0000
169,CAPE VINCENT VILLAGE,NY2202333,IN,ST LAWRENCE RIVER,JEFFERSON,2571133,1500,C,ONT,Lake Ontario,0300ONT0000
170,CLAYTON VILLAGE,NY2202335,IN,ST LAWRENCE RIVER,JEFFERSON,2571135,2100,C,ONT,Lake Ontario,0300ONT0000
171,THOUSAND ISLAND PARK CORP.,NY2218318,IN,ST LAWRENCE RIVER,JEFFERSON,2571203,900,NC,ONT,Lake Ontario,0300ONT0000
172,WELLESLEY ISLAND WATER CORP.,NY2220914,IN,ST LAWRENCE RIVER,JEFFERSON,2571210,548,C,ONT,Lake Ontario,0300ONT0000
173,MCWA,NY2701047,IN,SHOREMONT INTAKE,MONROE,2571237,496753,C,ONT,Lake Ontario,0300ONT0000
174,MORRISTOWN WATER DISTRICT,NY4404391,IN,SURFACE-ST LAWRENCE RIVER,ST LAWRENCE,2571413,395,C,ONT,Lake Ontario,0300ONT0000
175,OGDENSBURG CITY,NY4404394,IN,SURFACE-ST. LAWRENCE RIVER,ST LAWRENCE,2571414,11128,C,ONT,Lake Ontario,0300ONT0000
176,ROOSEVELT TRAILER PARK/COT.,NY2208814,IN,ST. LAWRENCE RIVER-SURFACE INTAKE,JEFFERSON,2571158,132,NC,ONT,Lake Ontario,0300ONT0000
177,ALBION VILLAGE,NY3600596,IN,LAKE ONTARIO INTAKE,ORLEANS,2575442,6000,C,ONT,Lake Ontario,0300ONT0000
178,LYNDONVILLE VILLAGE,NY3600599,IN,LAKE ONTARIO INTAKE,ORLEANS,2575450,1418,C,ONT,Lake Ontario,0300ONT0000
179,LANZS MOTEL INC.,NY2208203,IN,ST. LAWRENCE RIVER-SURFACE INTAKE,JEFFERSON,2571144,148,NC,ONT,Lake Ontario,0300ONT0000
180,KRINGS TRAILER PARK,NY2208618,IN,ST. LAWRENCE RIVER-SURFACE INTAKE,JEFFERSON,2571151,300,NC,ONT,Lake Ontario,0300ONT0000
181,TIBA -U.S. CUSTOMS,NY2230004,IN,ST. LAWRENCE RIVER-SURFACE INTAKE,JEFFERSON,2571212,25,NTNC,ONT,Lake Ontario,0300ONT0000
182,DOCKSIDE COTTAGES,NY2202072,IN,ST. LAWRENCE RIVER-SURFACE INTAKE,JEFFERSON,2571123,24,NP,ONT,Lake Ontario,0300ONT0000
183,CANOE-PICNIC POINT STATE PARK,NY2211789,IN,ST. LAWRENCE RIVER-SURFACE INTAKE,JEFFERSON,2571173,175,NC,ONT,Lake Ontario,0300ONT0000
184,RED-ROCHESTER IWS,NY2730003,IN,"54"""" KODAK CRIB LAKE STATION INTAKE",MONROE,2576006,2185,NTNC,ONT,Lake Ontario,0300ONT0000
185,NEW YORK POWER AUTHORITY,NY4421262,IN,SURFACE-ST LAWRENCE RIVER,ST LAWRENCE,2571430,200,NTNC,ONT,Lake Ontario,0300ONT0000
186,REYNOLDS METALS COMPANY-ALCOA EAST,NY4425001,IN,ST. LAWRENCE RIVER,ST LAWRENCE,2571433,50,NTNC,ONT,Lake Ontario,0300ONT0000
187,TIBA - BOLDT CASTLE,NY2209487,IN,ST. LAWRENCE RIVER-SURFACE INTAKE,JEFFERSON,2571172,1000,NC,ONT,Lake Ontario,0300ONT0000
188,SINGER CASTLE,NY4430161,IN,INTAKE,ST LAWRENCE,2613418,25,NC,ONT,Lake Ontario,0300ONT0000
189,US COAST GUARD - WELLESLEY ISLAND,NY2230111,IN,ST. LAWRENCE RIVER INTAKE,JEFFERSON,2618704,29,NTNC,ONT,Lake Ontario,0300ONT0000
190,EAST LOUISVILLE WATER DISTRICT,NY4430133,IN,INTAKE-ST LAWRENCE RIVER,ST LAWRENCE,2604903,3235,C,ONT,Lake Ontario,0300ONT0000
191,ROCK ISLAND LIGHTHOUSE STATE PARK,NY2230124,IN,INTAKE FROM ST. LAWRENCE RIVER,JEFFERSON,2629507,25,NC,ONT,Lake Ontario,0300ONT0000
192,CARMEL WD 2,NY3903641,IN,LAKE GLENEIDA,PUTNAM,2571367,5000,C,H-31-P44-23-P67-10-P74,Lake Gleneida,1302GLE0074
193,COXSACKIE CORRECTIONAL FACILITY,NY1902012,IN,INSTITUTION RESERVOIR,GREENE,2571058,2000,C,H-208-6-PN155,Broncks Lake,1301BRO0155
194,COXSACKIE CORRECTIONAL FACILITY,NY1902012,IN,BRONCK'S LAKE,GREENE,2571059,2000,C,H-208-6-PN155,Broncks Lake,1301BRO0155
195,CHESTER VILLAGE,NY3503524,IN,WALTON LAKE,ORANGE,2571303,3448,C,H-89-19-10-P257,Walton Lake,1303WAL0257
196,MIDDLETOWN CITY,NY3503534,IN,MILL POND RESERVOIR,ORANGE,2581891,30000,C,H-139-13-19-P515,Mill Pond,1306MIL0515
197,NEWBURGH CONSOLIDATED WD,NY3503578,IN,CHADWICK LAKE,ORANGE,2571321,23000,C,H-94-P341A,Chadwick Lake,1301CHA0341A
198,MIDDLETOWN CITY,NY3503534,IN,HIGHLAND RESERVOIR,ORANGE,2571311,30000,C,H-139-13-19-28-P491-1-P492,Highland Lake,1306HIG0492
199,COBLESKILL VILLAGE,NY4700094,IN,SURFACE RESERVOIR # 1,SCHOHARIE,2571456,4883,C,H-240-82-63-9-P583,Cobleskill Reservoir,1202COB0583
200,COBLESKILL VILLAGE,NY4700094,IN,SURFACE RESERVOIR # 2,SCHOHARIE,2571457,4883,C,H-240-82-63-9-P583,Cobleskill Reservoir,1202COB0583
201,RICHMONDVILLE VILLAGE,NY4700097,IN,SURFACE RESERVOIR # 1,SCHOHARIE,2571459,918,C,H-240-82-63-25-P599,Unnamed Water,1202UWB0599
202,BETHLEHEM WD NO 1,NY0100191,IN,VLY CREEK IMPOUNDING RESERVOIR,ALBANY,2570796,31000,C,H-221-4-7-PN262A,Vly Creek Reservoir,1301VLY0262A
203,U.S.M.A. - STONEY LONESOME SYS,NY3511338,IN,LONG POND,ORANGE,2571327,4000,C,H-61-P187A,Stillwell Lake,1301STI0187A
