OBJECTID,Water_System_Name,Water_SystemID,Facility_Type,Source_Name,Principle_County_Served,Facility_ID,Population_Served,Water_System_Type,FIN,WATER,LakeID
251,RICHMONDVILLE VILLAGE,NY4700097,IN,SURFACE RESERVOIR # 2,SCHOHARIE,2571460,918,C,H-240-82-63-25-P599,Unnamed Water,1202UWB0599
252,FLORIDA VILLAGE,NY3503527,IN,GLENMERE LAKE,ORANGE,2571305,2884,C,H-139-13-59-P668,Glenmere Lake,1306GLE0668
253,ANTLERS AT DIAMOND POINT,NY5621608,IN,SURFACE-LAKE GEORGE,WARREN,2571985,125,C,C-101-P367,Lake George,1006GEO0367
254,LOURDES CAMP INC,NY3302017,IN,INTAKE 1,ONONDAGA,2623157,295,NP,ONT-66-12-29-P193,Skaneateles Lake,0707SKA0193
255,LOURDES CAMP INC,NY3302017,IN,INTAKE 2,ONONDAGA,2623158,295,NP,ONT-66-12-29-P193,Skaneateles Lake,0707SKA0193
256,SHARON SPRINGS VILLAGE,NY4700099,IN,SURFACE RESERVOIR # 2,SCHOHARIE,2571462,558,C,H-240-82-63-13-13-P589A,Unnamed Water,1202UWB0589A
257,CRATER CLUB WATER SUPPLY,NY1512226,IN,LAKE CHAMPLAIN,ESSEX,2570983,132,NC,C-P1,Lake Champlain,1000CHA0001
258,ONEONTA CITY,NY3800154,IN,WILBER LAKE,OTSEGO,2571354,15779,C,SR-179-P297,Wilber Lake,0601WIL0297
259,BLUE WATER BEACH,NY0611671,IN,INFILTRATION GALLERY,CHAUTAUQUA,2570849,500,NC,E-P5000,Lake Erie,0100ERI5000
260,LAKE TIORATI WS,NY3517682,IN,LAKE TIORATI,ORANGE,2571342,999,NC,H-43-P152,Lake Tiorati,1301TIO0152
261,ATTICA VILLAGE,NY6000607,IN,RESERVOIR TWO INTAKE,WYOMING,2617640,2659,C,ONT-158-12-46-P20,Attica Reservoir,0102ATT0020
262,LONG POINT STATE PARK - JEFFERSON CTY,NY2211795,IN,SURFACE INTAKE-LAKE ONTARIO,JEFFERSON,2571177,360,NC,ONT,Lake Ontario,0300ONT0000
263,CAMP BUCKNER-NATURAL BRIDGE,NY3511339,IN,POPOLOPEN LAKE,ORANGE,2571328,3000,NC,H-61-P187A-1-P188-2-P191,Popolopen Lake,1301POP0191
264,GLEN MOTOR INN,NY4814162,IN,INTAKE,SCHUYLER,2571465,25,NC,ONT-66-12-P369,Seneca Lake,0705SEN0369
265,TANNERSVILLE VILLAGE,NY1900033,IN,RESERVOIR #1,GREENE,2571055,629,C,H-240-82-147B-1-P655B,Tannersville Reservoir,1202TAN0655B
266,PEEKSKILL CITY,NY5903452,IN,CAMPFIELD RESERVOIR,WESTCHESTER,2602323,24272,C,H-55-P163A,Camp Field Reservoir,1301CAM0163A
267,SNUG HARBOR,NY5006019,IN,INTAKE,STEUBEN,2571492,25,NC,ONT-66-12-P369-115-P388,Keuka Lake,0705KEU0388
268,TANNERSVILLE VILLAGE,NY1900033,IN,RESERVOIR #2,GREENE,2571054,629,C,H-240-82-147B-1-3-P655A,Tannersville Reservoir,1202TAN0655A
269,CANNON POINT CONDOMINIUMS,NY5605392,IN,LAKE GEORGE,WARREN,2571914,275,C,C-101-P367,Lake George,1006GEO0367
270,ITHACA CITY,NY5404416,IN,SIX MILE CREEK RESERVOIR AT 60 FT. DAM,TOMPKINS,2571553,29457,C,ONT-66-12-P296-75-5-P340A,Unnamed Water,0705UWB0340A
271,GUILDERLAND TOWN WD,NY0100205,IN,WATERVLIET RESERVOIR,ALBANY,2570802,30000,C,H-221-4-PN270,Watervliet Reservoir,1311WAT0270
272,GUFFIN BAY RESORT & MARINA,NY2219170,IN,LAKE ONTARIO-SHORE WELL,JEFFERSON,2571205,60,NC,ONT,Lake Ontario,0300ONT0000
273,ASSOCIATION ISLAND R.V. RESORT &MARINA,NY2230097,IN,INTAKE,JEFFERSON,2603754,307,NC,ONT,Lake Ontario,0300ONT0000
274,HIGHLAND WATER DISTRICT,NY5503368,IN,UPLAND RESERVOIRS,ULSTER,2571586,4000,C,H-116-1-2A-P438P,Unnamed Water,1301UWB0438P
275,MARIAVILLE LAKESIDE COUNTRY STORE,NY4630021,IN,MARIAVILLE LAKE,SCHENECTADY,2575866,25,NC,H-240-P570,Mariaville Lake,1201MAR0570
276,WHITEHALL VILLAGE,NY5700124,IN,PINE LAKE,WASHINGTON,2571998,2800,C,C-119-P398,Pine Lake,1005PIN0398
277,MARLBOROUGH WATER DISTRICT,NY5503377,IN,RESERVOIR,ULSTER,2571591,3248,C,H-103-6-P413,Unnamed Water,1301UWB0413
278,ROSENDALE WATER DISTRICT,NY5503383,IN,STILL POND,ULSTER,2571600,2200,C,H-P6000,Unnamed Water,1306UWB6000
279,JOHN BOYD THATCHER STATE PARK,NY0118342,IN,THOMPSON LAKE INTAKE,ALBANY,2570806,100,NC,H-PN274,Thompsons Lake,1311THO0274
280,HORNELL CITY,NY5001215,IN,RESERVOIR #3,STEUBEN,2571486,8590,C,PA-3-57-5-49-P35,Hornell Rs No 3,0503HOR0035
281,BEAR MOUNTAIN WATER SUPPLY,NY4317681,IN,QUEENSBORO LAKE INTAKE,ROCKLAND,2571398,3564,C,H-61-2-P184A,Queensboro Lake,1301QUE0184A
282,JOHNSTOWN (C) WATER WORKS,NY1700019,IN,CORK CENTER INTAKE RES.,FULTON,2571026,8743,C,H-240-89-8-P662,Unnamed Water,1201UWB0662
283,"US SALT, LLC",NY4811938,IN,SENECA LAKE INTAKE,SCHUYLER,2608589,130,NTNC,ONT-66-12-P369,Seneca Lake,0705SEN0369
284,BLUE WATER MANOR,NY5618139,IN,LAKE GEORGE,WARREN,2571976,350,NC,C-101-P367,Lake George,1006GEO0367
