"LOCATION_PWL_ID","LAKE_HISTORY_ID","PWS","LOCATION_HISTORY_ID","waterbody","huc_10","basin_name","class","water_type","segment_assessment","use","use_assessment","parameter","value"
"1302-0054","1302TRU0115A","NO","1302TRU0115A_C","Truesdale Lake",203010103,"Lower Hudson River","b","pond","IR5_impaired","shellfishing","not-applicable","not-applicable",1
"1302-0100","1302CAS0059B","NO","1302CAS0059B_C","Lake Casse",203010102,"Lower Hudson River","b","pond","IR4a_impaired","epa_appended_listing","not-applicable","not-applicable",1
"1302-0100","1302CAS0059B","NO","1302CAS0059B_C","Lake Casse",203010102,"Lower Hudson River","b","pond","IR4a_impaired","secondary_contact_recreation","IR4a_impaired_confirmed","algal_weed_growth",1
"1302-0100","1302CAS0059B","NO","1302CAS0059B_C","Lake Casse",203010102,"Lower Hudson River","b","pond","IR4a_impaired","shellfishing","not-applicable","not-applicable",1
"1302-0100","1302CAS0059B","NO","1302CAS0059B_C","Lake Casse",203010102,"Lower Hudson River","b","pond","IR4a_impaired","fishing","IR3_impaired_unconfirmed","dissolved_oxygen; ph",1
"1302-0100","1302CAS0059B","NO","1302CAS0059B_C","Lake Casse",203010102,"Lower Hudson River","b","pond","IR4a_impaired","source_of_water_supply","not-applicable","not-applicable",1
"1302-0100","1302CAS0059B","NO","1302CAS0059B_C","Lake Casse",203010102,"Lower Hudson River","b","pond","IR4a_impaired","primary_contact_recreation","IR3_impaired_unconfirmed","dissolved_oxygen; ph; phosphorus",1
"1302-0100","1302CAS0059B","NO","1302CAS0059B_BEACH","Lake Casse",203010102,"Lower Hudson River","b","pond","IR4a_impaired","epa_appended_listing","not-applicable","not-applicable",1
"1302-0100","1302CAS0059B","NO","1302CAS0059B_BEACH","Lake Casse",203010102,"Lower Hudson River","b","pond","IR4a_impaired","secondary_contact_recreation","IR4a_impaired_confirmed","algal_weed_growth",1
"1302-0100","1302CAS0059B","NO","1302CAS0059B_BEACH","Lake Casse",203010102,"Lower Hudson River","b","pond","IR4a_impaired","shellfishing","not-applicable","not-applicable",1
"1302-0100","1302CAS0059B","NO","1302CAS0059B_BEACH","Lake Casse",203010102,"Lower Hudson River","b","pond","IR4a_impaired","fishing","IR3_impaired_unconfirmed","dissolved_oxygen; ph",1
"1302-0100","1302CAS0059B","NO","1302CAS0059B_BEACH","Lake Casse",203010102,"Lower Hudson River","b","pond","IR4a_impaired","source_of_water_supply","not-applicable","not-applicable",1
"1302-0100","1302CAS0059B","NO","1302CAS0059B_BEACH","Lake Casse",203010102,"Lower Hudson River","b","pond","IR4a_impaired","primary_contact_recreation","IR3_impaired_unconfirmed","dissolved_oxygen; ph; phosphorus",1
"1302-0100","1302CAS0059B","NO","1302CAS0059B_DH","Lake Casse",203010102,"Lower Hudson River","b","pond","IR4a_impaired","epa_appended_listing","not-applicable","not-applicable",1
"1302-0100","1302CAS0059B","NO","1302CAS0059B_DH","Lake Casse",203010102,"Lower Hudson River","b","pond","IR4a_impaired","secondary_contact_recreation","IR4a_impaired_confirmed","algal_weed_growth",1
"1302-0100","1302CAS0059B","NO","1302CAS0059B_DH","Lake Casse",203010102,"Lower Hudson River","b","pond","IR4a_impaired","shellfishing","not-applicable","not-applicable",1
"1302-0100","1302CAS0059B","NO","1302CAS0059B_DH","Lake Casse",203010102,"Lower Hudson River","b","pond","IR4a_impaired","fishing","IR3_impaired_unconfirmed","dissolved_oxygen; ph",1
"1302-0100","1302CAS0059B","NO","1302CAS0059B_DH","Lake Casse",203010102,"Lower Hudson River","b","pond","IR4a_impaired","source_of_water_supply","not-applicable","not-applicable",1
"1302-0100","1302CAS0059B","NO","1302CAS0059B_DH","Lake Casse",203010102,"Lower Hudson River","b","pond","IR4a_impaired","primary_contact_recreation","IR3_impaired_unconfirmed","dissolved_oxygen; ph; phosphorus",1
"1401-0080","1401DEV0174","NO","1401DEV0174_C","Lake Devenogue/Upper Highland Lake",204010405,"Delaware River","b","pond","IR2_some-uses-supported","secondary_contact_recreation","IR1_fully-supported_confirmed","phosphorus",1
"1401-0080","1401DEV0174","NO","1401DEV0174_C","Lake Devenogue/Upper Highland Lake",204010405,"Delaware River","b","pond","IR2_some-uses-supported","fishing","IR3_unassessed","ammonia",1
"1401-0080","1401DEV0174","NO","1401DEV0174_C","Lake Devenogue/Upper Highland Lake",204010405,"Delaware River","b","pond","IR2_some-uses-supported","epa_appended_listing","not-applicable","not-applicable",1
"1401-0080","1401DEV0174","NO","1401DEV0174_C","Lake Devenogue/Upper Highland Lake",204010405,"Delaware River","b","pond","IR2_some-uses-supported","source_of_water_supply","not-applicable","not-applicable",1
"1401-0080","1401DEV0174","NO","1401DEV0174_C","Lake Devenogue/Upper Highland Lake",204010405,"Delaware River","b","pond","IR2_some-uses-supported","primary_contact_recreation","IR1_fully-supported_confirmed","phosphorus",1
"1401-0080","1401DEV0174","NO","1401DEV0174_C","Lake Devenogue/Upper Highland Lake",204010405,"Delaware River","b","pond","IR2_some-uses-supported","shellfishing","not-applicable","not-applicable",1
"1402-0047","1402DAV0038C","NO","1402DAV0038C_C","Davies Lake",204010403,"Delaware River","b","pond","IR5_impaired","source_of_water_supply","not-applicable","not-applicable",1
"1402-0047","1402DAV0038C","NO","1402DAV0038C_C","Davies Lake",204010403,"Delaware River","b","pond","IR5_impaired","epa_appended_listing","not-applicable","not-applicable",1
"1402-0047","1402DAV0038C","NO","1402DAV0038C_C","Davies Lake",204010403,"Delaware River","b","pond","IR5_impaired","shellfishing","not-applicable","not-applicable",1
"1402-0047","1402DAV0038C","NO","1402DAV0038C_C","Davies Lake",204010403,"Delaware River","b","pond","IR5_impaired","fishing","IR3_unassessed","No_Data",1
"1402-0047","1402DAV0038C","NO","1402DAV0038C_C","Davies Lake",204010403,"Delaware River","b","pond","IR5_impaired","primary_contact_recreation","IR5_impaired_confirmed","phosphorus",1
"1402-0047","1402DAV0038C","NO","1402DAV0038C_C","Davies Lake",204010403,"Delaware River","b","pond","IR5_impaired","secondary_contact_recreation","IR3_unassessed","No_Data",1
"1402-0047","1402DAV0038C","NO","1402DAV0038C_DH","Davies Lake",204010403,"Delaware River","b","pond","IR5_impaired","source_of_water_supply","not-applicable","not-applicable",1
"1402-0047","1402DAV0038C","NO","1402DAV0038C_DH","Davies Lake",204010403,"Delaware River","b","pond","IR5_impaired","epa_appended_listing","not-applicable","not-applicable",1
"1402-0047","1402DAV0038C","NO","1402DAV0038C_DH","Davies Lake",204010403,"Delaware River","b","pond","IR5_impaired","shellfishing","not-applicable","not-applicable",1
"1402-0047","1402DAV0038C","NO","1402DAV0038C_DH","Davies Lake",204010403,"Delaware River","b","pond","IR5_impaired","fishing","IR3_unassessed","No_Data",1
"1402-0047","1402DAV0038C","NO","1402DAV0038C_DH","Davies Lake",204010403,"Delaware River","b","pond","IR5_impaired","primary_contact_recreation","IR5_impaired_confirmed","phosphorus",1
"1402-0047","1402DAV0038C","NO","1402DAV0038C_DH","Davies Lake",204010403,"Delaware River","b","pond","IR5_impaired","secondary_contact_recreation","IR3_unassessed","No_Data",1
"1402-0048","1402TRE0039","NO","1402TRE0039_C","Treasure Lake",204010403,"Delaware River","b","pond","IR3_unassessed","fishing","IR3_unassessed","No_Data",1
"1402-0048","1402TRE0039","NO","1402TRE0039_C","Treasure Lake",204010403,"Delaware River","b","pond","IR3_unassessed","secondary_contact_recreation","IR3_unassessed","No_Data",1
"1402-0048","1402TRE0039","NO","1402TRE0039_C","Treasure Lake",204010403,"Delaware River","b","pond","IR3_unassessed","primary_contact_recreation","IR3_unassessed","No_Data",1
"1402-0048","1402TRE0039","NO","1402TRE0039_C","Treasure Lake",204010403,"Delaware River","b","pond","IR3_unassessed","epa_appended_listing","not-applicable","not-applicable",1
"1402-0048","1402TRE0039","NO","1402TRE0039_C","Treasure Lake",204010403,"Delaware River","b","pond","IR3_unassessed","shellfishing","not-applicable","not-applicable",1
"1402-0048","1402TRE0039","NO","1402TRE0039_C","Treasure Lake",204010403,"Delaware River","b","pond","IR3_unassessed","source_of_water_supply","not-applicable","not-applicable",1
"1402-0048","1402TRE0039","NO","1402TRE0039_DH","Treasure Lake",204010403,"Delaware River","b","pond","IR3_unassessed","fishing","IR3_unassessed","No_Data",1
"1402-0048","1402TRE0039","NO","1402TRE0039_DH","Treasure Lake",204010403,"Delaware River","b","pond","IR3_unassessed","secondary_contact_recreation","IR3_unassessed","No_Data",1
"1402-0048","1402TRE0039","NO","1402TRE0039_DH","Treasure Lake",204010403,"Delaware River","b","pond","IR3_unassessed","primary_contact_recreation","IR3_unassessed","No_Data",1
"1402-0048","1402TRE0039","NO","1402TRE0039_DH","Treasure Lake",204010403,"Delaware River","b","pond","IR3_unassessed","epa_appended_listing","not-applicable","not-applicable",1
"1402-0048","1402TRE0039","NO","1402TRE0039_DH","Treasure Lake",204010403,"Delaware River","b","pond","IR3_unassessed","shellfishing","not-applicable","not-applicable",1
"1402-0048","1402TRE0039","NO","1402TRE0039_DH","Treasure Lake",204010403,"Delaware River","b","pond","IR3_unassessed","source_of_water_supply","not-applicable","not-applicable",1
"1402-0049","1402LOU0040","YES","1402LOU0040_DH","McKee Reservoir/Lake Louise Marie",204010403,"Delaware River","a","pond","IR3_needs-verification","source_of_water_supply","IR3_impaired_unconfirmed","dissolved_oxygen",1
"1402-0049","1402LOU0040","YES","1402LOU0040_DH","McKee Reservoir/Lake Louise Marie",204010403,"Delaware River","a","pond","IR3_needs-verification","shellfishing","not-applicable","not-applicable",1
"1402-0049","1402LOU0040","YES","1402LOU0040_DH","McKee Reservoir/Lake Louise Marie",204010403,"Delaware River","a","pond","IR3_needs-verification","fishing","IR3_impaired_unconfirmed","dissolved_oxygen",1
"1402-0049","1402LOU0040","YES","1402LOU0040_DH","McKee Reservoir/Lake Louise Marie",204010403,"Delaware River","a","pond","IR3_needs-verification","secondary_contact_recreation","IR3_impaired_unconfirmed","dissolved_oxygen",1
"1402-0049","1402LOU0040","YES","1402LOU0040_DH","McKee Reservoir/Lake Louise Marie",204010403,"Delaware River","a","pond","IR3_needs-verification","primary_contact_recreation","IR3_impaired_unconfirmed","dissolved_oxygen",1
"1402-0049","1402LOU0040","YES","1402LOU0040_DH","McKee Reservoir/Lake Louise Marie",204010403,"Delaware River","a","pond","IR3_needs-verification","epa_appended_listing","not-applicable","not-applicable",1
"1402-0049","1402LOU0040","YES","1402LOU0040_SC","McKee Reservoir/Lake Louise Marie",204010403,"Delaware River","a","pond","IR3_needs-verification","source_of_water_supply","IR3_impaired_unconfirmed","dissolved_oxygen",1
"1402-0049","1402LOU0040","YES","1402LOU0040_SC","McKee Reservoir/Lake Louise Marie",204010403,"Delaware River","a","pond","IR3_needs-verification","shellfishing","not-applicable","not-applicable",1
"1402-0049","1402LOU0040","YES","1402LOU0040_SC","McKee Reservoir/Lake Louise Marie",204010403,"Delaware River","a","pond","IR3_needs-verification","fishing","IR3_impaired_unconfirmed","dissolved_oxygen",1
"1402-0049","1402LOU0040","YES","1402LOU0040_SC","McKee Reservoir/Lake Louise Marie",204010403,"Delaware River","a","pond","IR3_needs-verification","secondary_contact_recreation","IR3_impaired_unconfirmed","dissolved_oxygen",1
"1402-0049","1402LOU0040","YES","1402LOU0040_SC","McKee Reservoir/Lake Louise Marie",204010403,"Delaware River","a","pond","IR3_needs-verification","primary_contact_recreation","IR3_impaired_unconfirmed","dissolved_oxygen",1
"1402-0049","1402LOU0040","YES","1402LOU0040_SC","McKee Reservoir/Lake Louise Marie",204010403,"Delaware River","a","pond","IR3_needs-verification","epa_appended_listing","not-applicable","not-applicable",1
"1402-0049","1402LOU0040","YES","1402LOU0040_NE","McKee Reservoir/Lake Louise Marie",204010403,"Delaware River","a","pond","IR3_needs-verification","source_of_water_supply","IR3_impaired_unconfirmed","dissolved_oxygen",1
"1402-0049","1402LOU0040","YES","1402LOU0040_NE","McKee Reservoir/Lake Louise Marie",204010403,"Delaware River","a","pond","IR3_needs-verification","shellfishing","not-applicable","not-applicable",1
"1402-0049","1402LOU0040","YES","1402LOU0040_NE","McKee Reservoir/Lake Louise Marie",204010403,"Delaware River","a","pond","IR3_needs-verification","fishing","IR3_impaired_unconfirmed","dissolved_oxygen",1
