PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Owner Type
NY5922908,CALE FARMS WATER WORKS,Community water system,Ground water,Westchester,SOMERS (T),212,9,Private
NY2530004,CALEDONIA DIST 1,Community water system,Purchased ground water under influence of surface water source,Livingston,CALEDONIA (T),89,5,Local government
NY2500701,CALEDONIA DIST 3,Community water system,Surface water purchased,Livingston,CALEDONIA (T),160,2,Local government
NY2501013,CALEDONIA VILLAGE,Community water system,Surface water purchased,Livingston,CALEDONIA (V),2201,11,Local government
NY5203321,CALLICOON WD,Community water system,Ground water,Sullivan,DELAWARE (T),850,13,Local government
NY5112134,CALVERTON HILLS OWNERS ASSN,Community water system,Ground water,Suffolk,BROOKHAVEN (T),897,4,Private
NY3100557,CAMBRIA WATER DISTRICT,Community water system,Surface water purchased,Niagara,CAMBRIA (T),5400,4,Local government
NY5700117,CAMBRIDGE WATER WORKS,Community water system,Ground water,Washington,CAMBRIDGE (V),2475,13,Private
NY3202385,CAMDEN VILLAGE (GU),Community water system,Groundwater under influence of surface water,Oneida,"CAMDEN (T), CAMDEN (V)",2800,17,Local government
NY5000733,CAMERON VALLEY ESTATES,Community water system,Ground water,Steuben,CAMERON (T),78,6,Private
NY4501813,CAMERONS TRAILER PARK,Community water system,Ground water,Saratoga,BALLSTON (T),98,9,Private
NY3510479,CAMPBELL HALL REHABILITATION CENTER,Community water system,Ground water,Orange,HAMPTONBURGH (T),296,12,Private
NY5030104,CAMPBELL WATER DISTRICT # 1,Community water system,Ground water,Steuben,CAMPBELL (T),280,5,Local government
NY5030109,CAMPBELL WATER DISTRICT # 2,Community water system,Ground water purchased,Steuben,CAMPBELL (T),100,2,Local government
NY5030125,CAMPBELL WATER DISTRICT # 3,Community water system,Ground water purchased,Steuben,CAMPBELL (T),400,2,Local government
NY1009225,CAMPHILL VILLAGE USA INC,Community water system,Ground water,Columbia,COPAKE (T),235,4,Private
NY2800137,CANAJOHARIE (V) WATER WORKS,Community water system,Surface water,Montgomery,CANAJOHARIE (V),2300,26,Local government
NY3401150,CANANDAIGUA CITY,Community water system,Surface water,Ontario,CANANDAIGUA (C),11264,21,Local government
NY3430008,CANANDAIGUA TOWN CONS. WD,Community water system,Surface water purchased,Ontario,CANANDAIGUA (T),6607,11,Local government
NY3401151,CANANDAIGUA-FARMINGTON CONSOLIDATED W.D.,Community water system,Surface water purchased,Ontario,FARMINGTON (T),13000,20,Local government
NY3411948,CANANDAIGUA-HOPEWELL CONSOLIDATED WD,Community water system,Surface water purchased,Ontario,"CANANDAIGUA (T), HOPEWELL (T)",3781,11,Local government
NY0200316,CANASERAGA VILLAGE PUBLIC WATER,Community water system,Groundwater under influence of surface water,Allegany,CANASERAGA (V),900,11,Local government
NY3501335,CANDLESTICK PARK,Community water system,Ground water,Orange,NEWBURGH (T),250,7,Private
NY5903449,CANDLEWOOD PARK WATER DISTRICT,Community water system,Ground water,Westchester,NORTH SALEM (T),125,6,Local government
NY5301424,CANDOR LANDING,Community water system,Ground water,Tioga,CANDOR (V),99,10,Private
NY5304406,CANDOR VILLAGE WATER DEPT.,Community water system,Ground water,Tioga,CANDOR (V),800,8,Local government
NY2622902,CANDY LANE MOBILE HOME PARK,Community water system,Ground water,Madison,EATON (T),30,8,Private
NY5001207,CANISTEO VILLAGE,Community water system,Ground water,Steuben,CANISTEO (V),2336,5,Local government
NY5605392,CANNON POINT CONDOMINIUMS,Community water system,Surface water,Warren,LAKE GEORGE (T),275,4,Private
NY4404381,CANTON VILLAGE,Community water system,Ground water,St. Lawrence,CANTON (V),7055,29,Local government
NY2230018,CAPE VINCENT TOWN WD 1 & 5,Community water system,Surface water purchased,Jefferson,CAPE VINCENT (T),2600,10,Local government
