seg_id,waterbody,huc_10,basin_name,class,water_type,segment_assessment,use,use_assessment,parameter,grandfathered_from_listings,data_supported,stayCALM_param_eval
0104-0066,"Frog Pond, Sucker Pond",0412010201,Lake Erie-Niagara River,c,pond,IR3_needs-verification,primary_contact_recreation,not-applicable,not-applicable,no,yes,not-applicable
0104-0066,"Frog Pond, Sucker Pond",0412010201,Lake Erie-Niagara River,c,pond,IR3_needs-verification,secondary_contact_recreation,not-applicable,not-applicable,no,yes,not-applicable
0104-0066,"Frog Pond, Sucker Pond",0412010201,Lake Erie-Niagara River,c,pond,IR3_needs-verification,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0104-0066,"Frog Pond, Sucker Pond",0412010201,Lake Erie-Niagara River,c,pond,IR3_needs-verification,source_of_water_supply,not-applicable,not-applicable,no,yes,not-applicable
0104-0067,Beaver Lake,0412010201,Lake Erie-Niagara River,b,pond,IR3_unassessed,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0104-0067,Beaver Lake,0412010201,Lake Erie-Niagara River,b,pond,IR3_unassessed,fishing,IR3_unassessed,No_Data,no,yes,unassessed
0104-0067,Beaver Lake,0412010201,Lake Erie-Niagara River,b,pond,IR3_unassessed,primary_contact_recreation,IR3_unassessed,No_Data,no,yes,unassessed
0104-0067,Beaver Lake,0412010201,Lake Erie-Niagara River,b,pond,IR3_unassessed,secondary_contact_recreation,IR3_unassessed,No_Data,no,yes,unassessed
0104-0067,Beaver Lake,0412010201,Lake Erie-Niagara River,b,pond,IR3_unassessed,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0104-0067,Beaver Lake,0412010201,Lake Erie-Niagara River,b,pond,IR3_unassessed,source_of_water_supply,not-applicable,not-applicable,no,yes,not-applicable
0104-0068,Skim Lake,0412010201,Lake Erie-Niagara River,b,pond,IR3_unassessed,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0104-0068,Skim Lake,0412010201,Lake Erie-Niagara River,b,pond,IR3_unassessed,fishing,IR3_unassessed,No_Data,no,yes,unassessed
0104-0068,Skim Lake,0412010201,Lake Erie-Niagara River,b,pond,IR3_unassessed,primary_contact_recreation,IR3_unassessed,No_Data,no,yes,unassessed
0104-0068,Skim Lake,0412010201,Lake Erie-Niagara River,b,pond,IR3_unassessed,secondary_contact_recreation,IR3_unassessed,No_Data,no,yes,unassessed
0104-0068,Skim Lake,0412010201,Lake Erie-Niagara River,b,pond,IR3_unassessed,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0104-0068,Skim Lake,0412010201,Lake Erie-Niagara River,b,pond,IR3_unassessed,source_of_water_supply,not-applicable,not-applicable,no,yes,not-applicable
0104-0069,Moores Pond,0412010201,Lake Erie-Niagara River,c(t),pond,IR3_unassessed,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0104-0069,Moores Pond,0412010201,Lake Erie-Niagara River,c(t),pond,IR3_unassessed,fishing,IR3_unassessed,No_Data,no,yes,unassessed
0104-0069,Moores Pond,0412010201,Lake Erie-Niagara River,c(t),pond,IR3_unassessed,primary_contact_recreation,not-applicable,not-applicable,no,yes,not-applicable
0104-0069,Moores Pond,0412010201,Lake Erie-Niagara River,c(t),pond,IR3_unassessed,secondary_contact_recreation,not-applicable,not-applicable,no,yes,not-applicable
0104-0069,Moores Pond,0412010201,Lake Erie-Niagara River,c(t),pond,IR3_unassessed,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0104-0069,Moores Pond,0412010201,Lake Erie-Niagara River,c(t),pond,IR3_unassessed,source_of_water_supply,not-applicable,not-applicable,no,yes,not-applicable
0104-0070,Crystal Lake,0412010201,Lake Erie-Niagara River,b,pond,IR5_impaired,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0104-0070,Crystal Lake,0412010201,Lake Erie-Niagara River,b,pond,IR5_impaired,fishing,IR5_impaired_confirmed,dissolved_oxygen,yes,no,impaired_unconfirmed
0104-0070,Crystal Lake,0412010201,Lake Erie-Niagara River,b,pond,IR5_impaired,primary_contact_recreation,IR3_impaired_unconfirmed,dissolved_oxygen,no,yes,impaired_unconfirmed
0104-0070,Crystal Lake,0412010201,Lake Erie-Niagara River,b,pond,IR5_impaired,secondary_contact_recreation,IR3_impaired_unconfirmed,dissolved_oxygen,no,yes,impaired_unconfirmed
