"","LAKE_HISTORY_ID","waterbody","LOCATION_PWL_ID","PWS.ID","PWS.Name","PWS.Type","Primary.Source","Counties.Served","Cities.Served","PopulationServed.Count","Number.of.Facilities","Owner.Type"
"22","1303WAL0257","Walton Lake","1303-0004","NY3503524","CHESTER VILLAGE","Community water system","Surface water","Orange","CHESTER (V)","3448","8","Local government"
"23","0300ONT0000","Henderson Bay","0303-0022","NY4430133","EAST LOUISVILLE WATER DISTRICT","Community water system","Surface water","St. Lawrence","LOUISVILLE (T)","3235","9","Local government"
"24","1005PIN0398","Pine Lake (Long Pond)","1005-0025","NY5700124","WHITEHALL VILLAGE","Community water system","Surface water","Washington","WHITEHALL (V)","2800","19","Local government"
"25","1702BAR1108","Barlow Pond, Fishers Island","1701-0285","NY5103294","FISHERS ISLAND WW CORP","Community water system","Surface water","Suffolk","SOUTHOLD (T)","2500","13","Local government"
"26","0601OTS0404","Otsego Lake","0601-0033","NY3800145","COOPERSTOWN VILLAGE","Community water system","Surface water","Otsego","COOPERSTOWN (V)","2400","7","Local government"
"27","1004BUT0218","Butternut Pond","1004-0053","NY1500283","CHESTERFIELD WD","Community water system","Surface water","Essex","CHESTERFIELD (T)","2300","12","Local government"
"28","0300ONT0000","Henderson Bay","0303-0022","NY2202343","SACKETS HARBOR VILLAGE","Community water system","Surface water","Jefferson","SACKETS HARBOR (V)","2200","9","Local government"
"29","0300ONT0000","Henderson Bay","0303-0022","NY5801245","WOLCOTT VILLAGE","Community water system","Surface water","Wayne","WOLCOTT (V)","2200","15","Local government"
"30","0300ONT0000","Henderson Bay","0303-0022","NY2730003","RED-ROCHESTER IWS","Non-Transient non-community system","Surface water","Monroe","GREECE (T), ROCHESTER (C)","2185","5","Private"
"31","0300ONT0000","Henderson Bay","0303-0022","NY2202335","CLAYTON VILLAGE","Community water system","Surface water","Jefferson","CLAYTON (V)","2100","5","Local government"
"32","0300ONT0000","Henderson Bay","0303-0022","NY2202329","ALEXANDRIA BAY VILLAGE","Community water system","Surface water","Jefferson","ALEXANDRIA BAY (V)","1900","6","Local government"
"33","0300ONT0000","Henderson Bay","0303-0022","NY5801241","SODUS VILLAGE","Community water system","Surface water","Wayne","SODUS (V)","1819","16","Local government"
"34","1006EDG0381","Edgecomb Pond","1006-0028","NY5600101","BOLTON WATER DISTRICT","Community water system","Surface water","Warren","BOLTON (T)","1800","11","Local government"
