seg_id,within_period,use,type,parameter,fraction,units,n_samples_collected,n_years_sampled,n_exceedances,n_years_w_exceedances,n_no_result_value_provided,n_threshold_data_absent,notes
0502-0011,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,100,7,0,0,0,100,none
0502-0011,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,45,6,6,6,0,0,none
0502-0011,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,45,6,6,6,0,0,none
0502-0012,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,77,9,0,0,0,77,none
0502-0012,FALSE,fishing,aquatic_chronic,nitrite,total,ug/l,25,4,0,0,0,0,none
0502-0012,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,60,9,9,9,0,0,none
0502-0012,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,60,9,9,9,0,0,none
0502-0012,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,137,10,0,0,0,137,none
0502-0012,TRUE,fishing,aquatic_chronic,nitrite,total,ug/l,3,1,0,0,0,0,none
0502-0012,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,62,9,9,9,0,0,none
0502-0012,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,62,9,9,9,0,0,none
0502-0015,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,29,5,0,0,0,0,none
0502-0015,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,29,5,0,0,0,0,none
0502-0015,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,71,10,0,0,0,71,none
0502-0015,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,70,9,0,0,0,0,none
0502-0015,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,70,9,0,0,0,0,none
0502-0021,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,1,1,0,0,0,1,none
0502-0024,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,1,1,0,0,0,1,none
0502-0026,FALSE,fishing,none,dissolved_oxygen,dissolved,mg/l,1,1,0,0,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0502-0026,FALSE,fishing,none,ph,total,ph_units,1,1,1,1,0,0,none
0502-0027,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,12,3,0,0,0,12,none
0502-0027,FALSE,fishing,none,dissolved_oxygen,dissolved,mg/l,2,1,3,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0502-0027,FALSE,fishing,none,ph,total,ph_units,2,1,2,1,0,0,none
0502-0027,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,4,1,0,0,0,3,none
0502-0027,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,4,1,7,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0502-0027,TRUE,fishing,none,ph,total,ph_units,4,1,0,0,0,0,none
0502-0035,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,1,1,0,0,0,1,none
0502-0035,FALSE,fishing,none,dissolved_oxygen,dissolved,mg/l,1,1,0,0,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0502-0035,FALSE,fishing,none,ph,total,ph_units,1,1,1,1,0,0,none
0502-0037,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,1,1,0,0,0,1,none
0502-0037,FALSE,fishing,none,dissolved_oxygen,dissolved,mg/l,1,1,2,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0502-0037,FALSE,fishing,none,ph,total,ph_units,1,1,1,1,0,0,none
0503-0003,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,5,2,0,0,0,5,none
0503-0003,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,4,1,1,1,0,0,none
0503-0003,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,4,1,1,1,0,0,none
0503-0015,FALSE,fishing,none,dissolved_oxygen,dissolved,mg/l,1,1,1,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0503-0015,FALSE,fishing,none,ph,total,ph_units,1,1,1,1,0,0,none
0503-0027,FALSE,fishing,none,dissolved_oxygen,dissolved,mg/l,1,1,2,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0503-0027,FALSE,fishing,none,ph,total,ph_units,1,1,1,1,0,0,none
0503-0031,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,3,1,0,0,0,3,none
0503-0031,FALSE,fishing,none,dissolved_oxygen,dissolved,mg/l,2,1,4,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0503-0031,FALSE,fishing,none,ph,total,ph_units,2,1,2,1,0,0,none
0503-0031,FALSE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,4,1,1,1,0,0,none
0503-0031,FALSE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,4,1,2,1,0,0,none
0503-0031,FALSE,source_of_water_supply,health_water-source,ammonia,total,ug/l,3,1,1,1,0,0,none
0503-0031,FALSE,source_of_water_supply,health_water-source,chloride,total,ug/l,4,1,0,0,0,0,none
0503-0031,FALSE,source_of_water_supply,health_water-source,magnesium,total,ug/l,4,1,0,0,0,0,none
0503-0031,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,4,1,0,0,0,0,none
0503-0031,FALSE,source_of_water_supply,health_water-source,sulfate,total,ug/l,4,1,0,0,0,0,none
0601-0001,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,8,1,0,0,0,8,none
0601-0001,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,4,1,1,1,0,0,none
0601-0001,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,4,1,1,1,0,0,none
0601-0001,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,9,1,0,0,0,9,none
0601-0001,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,4,1,2,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0601-0001,TRUE,fishing,none,ph,total,ph_units,4,1,0,0,0,0,none
0601-0001,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,3,1,0,0,0,0,none
0601-0001,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,3,1,0,0,0,0,none
0601-0010,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,22,2,0,0,0,22,none
0601-0010,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,5,2,0,0,0,0,none
0601-0010,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,5,2,0,0,0,0,none
0601-0010,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,16,1,0,0,0,16,none
0601-0010,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,7,1,0,0,0,0,none
0601-0010,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,7,1,0,0,0,0,none
0601-0012,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,81,8,0,0,0,81,none
0601-0012,FALSE,fishing,aquatic_chronic,nitrite,total,ug/l,23,3,0,0,0,0,none
0601-0012,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,45,8,1,1,0,0,none
0601-0012,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,45,8,1,1,0,0,none
0601-0012,FALSE,source_of_water_supply,health_water-source,ammonia,total,ug/l,81,8,0,0,0,0,none
0601-0012,FALSE,source_of_water_supply,health_water-source,chloride,total,ug/l,18,2,0,0,0,0,none
0601-0012,FALSE,source_of_water_supply,health_water-source,nitrate,total,ug/l,19,2,0,0,0,0,none
0601-0012,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,54,6,0,0,0,0,none
0601-0012,FALSE,source_of_water_supply,health_water-source,nitrite,total,ug/l,23,3,0,0,0,0,none
0601-0012,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,136,10,0,0,0,136,none
0601-0012,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,64,9,2,2,0,0,none
0601-0012,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,64,9,2,2,0,0,none
0601-0012,TRUE,source_of_water_supply,health_water-source,ammonia,total,ug/l,136,10,0,0,0,0,none
0601-0012,TRUE,source_of_water_supply,health_water-source,chloride,total,ug/l,28,8,0,0,0,0,none
0601-0012,TRUE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,56,9,0,0,0,0,none
0601-0013,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,101,10,0,0,0,101,none
0601-0013,FALSE,fishing,aquatic_chronic,nitrite,total,ug/l,16,2,0,0,0,0,none
0601-0013,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,91,12,0,0,0,0,none
0601-0013,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,91,12,0,0,0,0,none
0601-0013,FALSE,source_of_water_supply,health_water-source,ammonia,total,ug/l,101,10,0,0,0,0,none
0601-0013,FALSE,source_of_water_supply,health_water-source,arsenic,total,ug/l,1,1,0,0,0,0,none
0601-0013,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,113,12,0,0,0,0,none
0601-0013,FALSE,source_of_water_supply,health_water-source,nitrite,total,ug/l,16,2,0,0,0,0,none
0601-0013,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,133,10,0,0,0,133,none
0601-0013,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,70,9,0,0,0,0,none
0601-0013,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,70,9,0,0,0,0,none
0601-0013,TRUE,source_of_water_supply,health_water-source,ammonia,total,ug/l,133,10,0,0,0,0,none
0601-0013,TRUE,source_of_water_supply,health_water-source,chloride,total,ug/l,28,8,0,0,0,0,none
0601-0013,TRUE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,56,9,0,0,0,0,none
0601-0015,FALSE,fishing,aquatic_chronic,fluoride,total,ug/l,1,1,0,0,0,1,none
0601-0015,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,2,1,1,1,0,0,none
0601-0015,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,2,1,1,1,0,0,none
0601-0016,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,8,1,0,0,0,8,none
0601-0016,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,43,7,0,0,0,0,none
0601-0016,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,43,7,0,0,0,0,none
0601-0016,FALSE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,8,1,2,1,0,0,none
0601-0016,FALSE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,8,1,2,1,0,0,none
0601-0016,FALSE,source_of_water_supply,health_water-source,ammonia,total,ug/l,8,1,0,0,0,0,none
0601-0016,FALSE,source_of_water_supply,health_water-source,chloride,total,ug/l,8,1,0,0,0,0,none
0601-0016,FALSE,source_of_water_supply,health_water-source,magnesium,total,ug/l,10,2,0,0,0,0,none
0601-0016,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,48,7,0,0,0,0,none
0601-0016,FALSE,source_of_water_supply,health_water-source,sulfate,total,ug/l,8,1,0,0,0,0,none
0601-0016,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,82,6,0,0,0,82,none
0601-0016,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,36,5,0,0,0,0,none
0601-0016,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,36,5,0,0,0,0,none
0601-0016,TRUE,source_of_water_supply,health_water-source,ammonia,total,ug/l,82,6,0,0,0,0,none
0601-0016,TRUE,source_of_water_supply,health_water-source,chloride,total,ug/l,22,6,0,0,0,0,none
0601-0016,TRUE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,38,5,0,0,0,0,none
0601-0023,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,2,1,0,0,0,0,none
0601-0023,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,2,1,0,0,0,0,none
0601-0026,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,4,1,0,0,0,4,none
0601-0026,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,4,1,2,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0601-0026,TRUE,fishing,none,ph,total,ph_units,4,1,0,0,0,0,none
0601-0026,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,3,1,1,1,0,0,none
0601-0026,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,3,1,1,1,0,0,none
0601-0033,TRUE,fishing,aquatic_acute,arsenic,dissolved,ug/l,2,1,0,0,0,0,none
0601-0033,TRUE,fishing,aquatic_acute,copper,dissolved,ug/l,2,1,0,0,0,0,none
0601-0033,TRUE,fishing,aquatic_acute,nickel,dissolved,ug/l,2,1,0,0,0,0,none
0601-0033,TRUE,fishing,aquatic_acute,zinc,dissolved,ug/l,2,1,0,0,0,0,none
0601-0033,TRUE,fishing,aquatic_chronic,aluminum,dissolved,ug/l,2,1,0,0,0,0,none
0601-0033,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,2,1,0,0,0,2,none
0601-0033,TRUE,fishing,aquatic_chronic,arsenic,dissolved,ug/l,2,1,0,0,0,0,none
0601-0033,TRUE,fishing,aquatic_chronic,copper,dissolved,ug/l,2,1,0,0,0,0,none
0601-0033,TRUE,fishing,aquatic_chronic,nickel,dissolved,ug/l,2,1,0,0,0,0,none
0601-0033,TRUE,fishing,aquatic_chronic,zinc,dissolved,ug/l,2,1,0,0,0,0,none
0601-0033,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,1,1,0,0,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0601-0033,TRUE,fishing,none,ph,total,ph_units,1,1,0,0,0,0,none
0601-0033,TRUE,fishing,none,total_dissolved_solids,dissolved,mg/l,2,1,0,0,0,0,none
0601-0033,TRUE,secondary_contact_recreation,none,total_dissolved_solids,dissolved,mg/l,2,1,0,0,0,0,none
0601-0033,TRUE,primary_contact_recreation,none,total_dissolved_solids,dissolved,mg/l,2,1,0,0,0,0,none
0601-0033,TRUE,source_of_water_supply,none,total_dissolved_solids,dissolved,mg/l,2,1,0,0,0,0,none
0601-0033,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
0601-0033,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
0601-0033,TRUE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,2,1,0,0,0,0,none
0601-0033,TRUE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,2,1,0,0,0,0,none
0601-0033,TRUE,source_of_water_supply,health_water-source,ammonia,total,ug/l,2,1,0,0,0,0,none
0601-0033,TRUE,source_of_water_supply,health_water-source,arsenic,total,ug/l,2,1,0,0,0,0,none
0601-0033,TRUE,source_of_water_supply,health_water-source,chloride,total,ug/l,2,1,0,0,0,0,none
0601-0033,TRUE,source_of_water_supply,health_water-source,copper,total,ug/l,2,1,0,0,0,0,none
0601-0033,TRUE,source_of_water_supply,health_water-source,magnesium,total,ug/l,2,1,0,0,0,0,none
0601-0033,TRUE,source_of_water_supply,health_water-source,nickel,total,ug/l,2,1,0,0,0,0,none
0601-0033,TRUE,source_of_water_supply,health_water-source,nitrate,total,ug/l,2,1,0,0,0,0,none
0601-0033,TRUE,source_of_water_supply,health_water-source,sulfate,total,ug/l,2,1,0,0,0,0,none
0601-0066,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,80,10,0,0,0,80,none
0601-0066,FALSE,fishing,aquatic_chronic,nitrite,total,ug/l,16,2,0,0,0,0,none
0601-0066,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,67,10,0,0,0,67,none
0601-0068,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,11,2,0,0,0,11,none
0601-0086,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,1,1,0,0,0,1,none
0601-0095,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,12,3,0,0,0,12,none
0601-0095,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,5,2,6,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0601-0095,TRUE,fishing,none,ph,total,ph_units,5,2,0,0,0,0,none
0601-0095,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,4,2,0,0,0,0,none
0601-0095,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,4,2,0,0,0,0,none
0601-0095,TRUE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,8,1,4,1,0,0,none
0601-0095,TRUE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,8,1,4,1,0,0,none
0601-0095,TRUE,source_of_water_supply,health_water-source,ammonia,total,ug/l,12,3,0,0,0,0,none
0601-0095,TRUE,source_of_water_supply,health_water-source,arsenic,total,ug/l,4,1,0,0,0,0,none
0601-0095,TRUE,source_of_water_supply,health_water-source,chloride,total,ug/l,8,1,0,0,0,0,none
0601-0095,TRUE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,11,3,0,0,0,0,none
0601-0095,TRUE,source_of_water_supply,health_water-source,sulfate,total,ug/l,10,2,0,0,0,0,none
0601-0098,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,2,1,0,0,0,2,none
0601-0098,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
0601-0098,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
0601-0098,FALSE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,2,1,1,1,0,0,none
0601-0098,FALSE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,2,1,1,1,0,0,none
0601-0098,FALSE,source_of_water_supply,health_water-source,ammonia,total,ug/l,2,1,0,0,0,0,none
0601-0098,FALSE,source_of_water_supply,health_water-source,chloride,total,ug/l,3,2,0,0,0,0,none
0601-0098,FALSE,source_of_water_supply,health_water-source,magnesium,total,ug/l,3,2,0,0,0,0,none
0601-0098,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,3,2,0,0,0,0,none
0601-0098,FALSE,source_of_water_supply,health_water-source,sulfate,total,ug/l,3,2,0,0,0,0,none
0601-0101,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,1,1,0,0,0,1,none
0601-0101,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
0601-0101,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
0601-0108,FALSE,source_of_water_supply,health_water-source,chloride,total,ug/l,1,1,0,0,0,0,none
0601-0108,FALSE,source_of_water_supply,health_water-source,magnesium,total,ug/l,1,1,0,0,0,0,none
0601-0108,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,1,1,0,0,0,0,none
0601-0108,FALSE,source_of_water_supply,health_water-source,sulfate,total,ug/l,1,1,0,0,0,0,none
0601-0109,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,45,6,0,0,0,0,none
0601-0109,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,45,6,0,0,0,0,none
0601-0109,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,18,3,0,0,0,18,none
0601-0109,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,2,2,2,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0601-0109,TRUE,fishing,none,ph,total,ph_units,2,2,0,0,0,0,none
0601-0109,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,10,3,0,0,0,0,none
0601-0109,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,10,3,0,0,0,0,none
0601-0110,FALSE,source_of_water_supply,health_water-source,chloride,total,ug/l,1,1,0,0,0,0,none
0601-0110,FALSE,source_of_water_supply,health_water-source,magnesium,total,ug/l,1,1,0,0,0,0,none
0601-0110,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,1,1,0,0,0,0,none
0601-0110,FALSE,source_of_water_supply,health_water-source,sulfate,total,ug/l,1,1,0,0,0,0,none
0601-0112,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,8,2,0,0,0,8,none
0601-0112,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,5,2,0,0,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0601-0112,TRUE,fishing,none,ph,total,ph_units,5,2,0,0,0,0,none
0601-0112,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,5,2,0,0,0,0,none
0601-0112,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,5,2,0,0,0,0,none
0601-0112,TRUE,source_of_water_supply,aesthetic_water-supply,iron,total,ug/l,8,1,3,1,0,0,none
0601-0112,TRUE,source_of_water_supply,aesthetic_water-supply,manganese,total,ug/l,8,1,1,1,0,0,none
0601-0112,TRUE,source_of_water_supply,health_water-source,ammonia,total,ug/l,8,2,0,0,0,0,none
0601-0112,TRUE,source_of_water_supply,health_water-source,arsenic,total,ug/l,4,1,0,0,0,0,none
0601-0112,TRUE,source_of_water_supply,health_water-source,chloride,total,ug/l,8,1,0,0,0,0,none
0601-0112,TRUE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,9,2,0,0,0,0,none
0601-0112,TRUE,source_of_water_supply,health_water-source,sulfate,total,ug/l,10,2,0,0,0,0,none
0602-0004,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,22,2,0,0,0,22,none
0602-0004,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,4,1,0,0,0,1,none
0602-0004,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,4,2,0,0,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0602-0004,TRUE,fishing,none,ph,total,ph_units,4,2,0,0,0,0,none
0602-0007,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,120,12,0,0,0,120,none
0602-0007,FALSE,fishing,aquatic_chronic,nitrite,total,ug/l,13,2,0,0,0,0,none
0602-0007,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,209,27,4,4,0,0,none
0602-0007,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,209,27,4,4,0,0,none
0602-0007,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,132,10,0,0,0,132,none
0602-0007,TRUE,fishing,aquatic_chronic,nitrite,total,ug/l,2,1,0,0,0,0,none
0602-0007,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,67,9,1,1,0,0,none
0602-0007,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,67,9,1,1,0,0,none
0602-0010,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,10,1,0,0,0,10,none
0602-0010,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,1,1,0,0,none
0602-0010,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,1,1,0,0,none
0602-0010,FALSE,source_of_water_supply,health_water-source,ammonia,total,ug/l,10,1,1,1,0,0,none
0602-0010,FALSE,source_of_water_supply,health_water-source,chloride,total,ug/l,10,1,0,0,0,0,none
0602-0010,FALSE,source_of_water_supply,health_water-source,nitrate,total,ug/l,10,1,0,0,0,0,none
0602-0014,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,81,10,0,0,0,81,none
0602-0014,FALSE,fishing,aquatic_chronic,nitrite,total,ug/l,16,2,0,0,0,0,none
0602-0014,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,141,21,8,8,0,0,none
0602-0014,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,141,21,8,8,0,0,none
0602-0014,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,70,10,0,0,0,70,none
0602-0014,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,70,9,7,7,0,0,none
0602-0014,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,70,9,7,7,0,0,none
0602-0017,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,60,6,0,0,0,60,none
0602-0017,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,35,6,0,0,0,0,none
0602-0017,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,35,6,0,0,0,0,none
0602-0017,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,127,9,0,0,0,127,none
0602-0017,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,4,1,0,0,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0602-0017,TRUE,fishing,none,ph,total,ph_units,4,1,0,0,0,0,none
0602-0017,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,60,9,0,0,0,0,none
0602-0017,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,60,9,0,0,0,0,none
0602-0018,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,31,3,0,0,0,31,none
0602-0018,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,13,3,0,0,0,0,none
0602-0018,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,13,3,0,0,0,0,none
0602-0018,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,139,10,0,0,0,139,none
0602-0018,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,69,9,0,0,0,0,none
0602-0018,TRUE,primary_contact_recreation,recreation,phosphorus,total,ug/l,69,9,0,0,0,0,none
0602-0019,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,60,6,0,0,0,60,none
0602-0019,FALSE,fishing,aquatic_chronic,nitrite,total,ug/l,16,2,0,0,0,0,none
0602-0019,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,59,7,1,1,0,0,none
0602-0019,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,59,7,1,1,0,0,none
0602-0019,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,128,9,0,0,0,128,none
0602-0019,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,62,8,0,0,0,0,none
