seg_id,waterbody,description,win,huc_10,basin_name,subbasin_name,region,county_name,class,water_type,waterbody_size,waterbody_size_units,segment_assessment,segment_ir_number,use,use_assessment,use_ir_number,parameter,listing_agency
1104-0149,Paul Creek and tribs,entire stream and tribs,H-369-P127-69,0202000207,Upper Hudson River,Hudson Headwaters,5,Saratoga,c(t),flow,30.7,Miles,IR3_needs-verification,3,shellfishing,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0150,"Middle Flow, Livingston Lake",total area of both lakes,"H-369-P127-69-P211a,P212",0202000207,Upper Hudson River,Hudson Headwaters,5,Saratoga,c,pond,182.3,Acres,IR3_unassessed,3,primary_contact_recreation,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0151,Bell Brook Pond,entire lake,H-369-P127-74-P212a,0202000207,Upper Hudson River,Hudson Headwaters,5,Saratoga,b,pond,69.6,Acres,IR3_unassessed,3,primary_contact_recreation,IR3_unassessed,3,No_Data,NYSDEC
1104-0152,"Sacandaga River, Upper, Main Stem",West Branch to East Branch,H-369.. (portion 2),0202000203,Upper Hudson River,Hudson Headwaters,5,Hamilton,b,flow,8.3,Miles,IR3_unassessed,3,fishing,IR3_unassessed,3,No_Data,NYSDEC
1104-0153,"Sacandaga River, Upper, and minor tribs",stream and tribs from East Branch to Lake Pleasant,H-369.. (portion 3),0202000203,Upper Hudson River,Hudson Headwaters,5,Hamilton,c(t),flow,109.3,Miles,IR3_needs-verification,3,fishing,IR3_stressed_unconfirmed,3,dissolved_oxygen,NYSDEC
1104-0154,Minor tribs to Upper Sacandaga River,total length of tribs btw Reservoir and West Branch,H-369.. 8 thru 19,0202000203,Upper Hudson River,Hudson Headwaters,5,Hamilton,c,flow,48.5,Miles,IR3_needs-verification,3,fishing,IR3_impaired_unconfirmed,3,ph,NYSDEC
1104-0155,"Murphy Lake, Willis Lake",total area of both lakes,"H-369..13-P213,19-P215",0202000203,Upper Hudson River,Hudson Headwaters,5,Hamilton,a,pond,36.3,Acres,IR3_unassessed,3,shellfishing,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0156,"West Branch Sacandaga, Upper, and tribs",stream and tribs above Piseco Lake Outlet,H-369..20,0202000202,Upper Hudson River,Hudson Headwaters,5,Hamilton,c(t),flow,126.9,Miles,IR3_needs-verification,3,source_of_water_supply,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0157,"Mud Lake, Buck Pond, Chartreuse Lake",total area of all three lakes,"H-369..20- 9-P216,13-P218,19-P219",0202000202,Upper Hudson River,Hudson Headwaters,5,Hamilton,a,pond,45.2,Acres,IR3_unassessed,3,shellfishing,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0158,"Hamilton Lake, Sand Lake",total area of both lakes,"H-369..20-19-P220,P221",0202000202,Upper Hudson River,Hudson Headwaters,5,Hamilton,c,pond,168.1,Acres,IR3_unassessed,3,primary_contact_recreation,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0159,Piseco Lake Outlet and tribs,entire stream and tribs,H-369..20-23,0202000202,Upper Hudson River,Hudson Headwaters,5,Hamilton,c,flow,149.3,Miles,IR3_needs-verification,3,fishing,IR3_impaired_unconfirmed,3,ph,NYSDEC
1104-0160,Spy Lake,entire lake,H-369..20-23-6-P232,0202000202,Upper Hudson River,Hudson Headwaters,5,Hamilton,c,pond,376.6,Acres,IR4a_impaired,4a,fish_consumption,IR4a_impaired_confirmed,4a,mercury,NYSDEC
1104-0161,Fawn Lake,entire lake,H-369..20-23-P234-11-5-P247,0202000202,Upper Hudson River,Hudson Headwaters,5,Hamilton,a,pond,282.5,Acres,IR3_unassessed,3,secondary_contact_recreation,IR3_unassessed,3,No_Data,NYSDEC
1104-0162,Kennels Pond,entire lake,H-369..20-32-1-P258,0202000202,Upper Hudson River,Hudson Headwaters,5,Hamilton,a,pond,56.1,Acres,IR3_needs-verification,3,primary_contact_recreation,IR3_fully-supported_unconfirmed,3,phosphorus,NYSDEC
1104-0164,Minor Tribs to Upper Sacandaga River,total length of selected tribs above East Branch,H-369..21 thru 28,0202000203,Upper Hudson River,Hudson Headwaters,5,Hamilton,c(t),flow,58.4,Miles,IR3_needs-verification,3,shellfishing,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0165,Charley Lake,entire lake,H-369..28-9-P280,0202000203,Upper Hudson River,Hudson Headwaters,5,Hamilton,b(t),pond,34.3,Acres,IR3_unassessed,3,fishing,IR3_unassessed,3,No_Data,NYSDEC
1104-0166,Dunning Lake,entire lake,H-369..28-P279,0202000203,Upper Hudson River,Hudson Headwaters,5,Hamilton,a,pond,5.5,Acres,IR3_unassessed,3,fishing,IR3_unassessed,3,No_Data,NYSDEC
1104-0167,Gilman Lake,entire lake,H-369..28-P281,0202000203,Upper Hudson River,Hudson Headwaters,5,Hamilton,c(t),pond,44.3,Acres,IR3_unassessed,3,secondary_contact_recreation,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0168,Second Pond,entire lake,H-369..29-25-P298,0202000201,Upper Hudson River,Hudson Headwaters,5,Hamilton,a,pond,13.3,Acres,IR3_unassessed,3,primary_contact_recreation,IR3_unassessed,3,No_Data,NYSDEC
1104-0169,Minor Lakes in East Br Sacandaga Watersd,total area of selected lakes in watershed,H-369..29-P282 thru P300,0202000201,Upper Hudson River,Hudson Headwaters,5,Hamilton,a,pond,369.5,Acres,IR3_unassessed,3,fishing,IR3_unassessed,3,No_Data,NYSDEC
1104-0170,Kunjamuk River and tribs,entire stream and tribs,H-369..40,0202000203,Upper Hudson River,Hudson Headwaters,5,Hamilton,c(t),flow,63.3,Miles,IR3_needs-verification,3,fishing,IR3_stressed_unconfirmed,3,dissolved_oxygen; ph,NYSDEC
1104-0171,Owl Pond,entire lake,H-369..40-11-1-P308,0202000203,Upper Hudson River,Hudson Headwaters,5,Hamilton,c(t),pond,68.6,Acres,IR3_unassessed,3,fishing,IR3_unassessed,3,No_Data,NYSDEC
1104-0172,Elm Lake,entire lake,H-369..40-P304,0202000203,Upper Hudson River,Hudson Headwaters,5,Hamilton,c,pond,62.6,Acres,IR3_unassessed,3,shellfishing,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0173,Lake Algonquin,entire lake,H-369..P276a,0202000203,Upper Hudson River,Hudson Headwaters,5,Hamilton,aa,pond,248.6,Acres,IR3_needs-verification,3,source_of_water_supply,IR3_impaired_unconfirmed,3,iron,NYSDEC
1104-0174,Minor Lakes in Upp Sacandaga R Watershed,total area of selected lakes in watershed,H-369..P302 thru P316,0202000203,Upper Hudson River,Hudson Headwaters,5,Hamilton,a,pond,276,Acres,IR3_unassessed,3,shellfishing,not-applicable,not-applicable,not-applicable,NYSDEC
