"LAKE_HISTORY_ID","LOCATION_PWL_ID","within_period","use","type","parameter","fraction","units","n_samples_collected","n_years_sampled","n_exceedances","n_years_w_exceedances","n_no_result_value_provided","n_threshold_data_absent","notes","X","waterbody","PWS.ID","PWS.Name","PWS.Type","Primary.Source","Counties.Served","Cities.Served","PopulationServed.Count","Number.of.Facilities","Owner.Type"
"0202CHA0122","0202-0020",TRUE,"source_of_water_supply","health_water-source","ammonia","total","ug/l",57,9,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0020",TRUE,"source_of_water_supply","health_water-source","chloride","total","ug/l",20,8,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0020",FALSE,"fishing","aquatic_chronic","ammonia","total","ug/l",79,10,0,0,0,79,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0020",FALSE,"primary_contact_recreation","recreation","phosphorus","total","ug/l",85,15,15,15,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0020",TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",57,9,0,0,0,57,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0020",FALSE,"source_of_water_supply","aesthetic_water-supply","manganese","total","ug/l",2,1,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0020",TRUE,"primary_contact_recreation","recreation","phosphorus","total","ug/l",57,8,8,8,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0020",TRUE,"source_of_water_supply","health_water-source","nitrate_nitrite","total","ug/l",50,8,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0020",TRUE,"secondary_contact_recreation","recreation","phosphorus","total","ug/l",57,8,8,8,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0020",FALSE,"secondary_contact_recreation","recreation","phosphorus","total","ug/l",85,15,15,15,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0020",FALSE,"source_of_water_supply","aesthetic_water-supply","iron","total","ug/l",2,1,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0072",TRUE,"source_of_water_supply","health_water-source","chloride","total","ug/l",28,8,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0072",FALSE,"source_of_water_supply","health_water-source","nitrite","total","ug/l",27,5,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0072",TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0072",TRUE,"source_of_water_supply","health_water-source","nitrite","total","ug/l",2,1,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0072",FALSE,"primary_contact_recreation","recreation","phosphorus","total","ug/l",152,24,21,21,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0072",FALSE,"fishing","aquatic_chronic","nitrite","total","ug/l",27,5,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0072",TRUE,"secondary_contact_recreation","recreation","phosphorus","total","ug/l",69,9,9,9,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0072",TRUE,"primary_contact_recreation","recreation","phosphorus","total","ug/l",69,9,9,9,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0072",FALSE,"secondary_contact_recreation","recreation","phosphorus","total","ug/l",152,24,21,21,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0072",TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,2,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0072",TRUE,"fishing","aquatic_chronic","nitrite","total","ug/l",2,1,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0072",TRUE,"source_of_water_supply","health_water-source","ammonia","total","ug/l",127,10,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
